Index,Time_ms,Operations
0,0,017100,15
1,0,003900,15
2,0,002100,14
3,0,001600,15
4,0,001700,15
5,0,001400,14
6,0,001600,15
7,0,001600,15
8,0,003400,14
9,0,001900,14
10,0,001800,14
11,0,002100,15
12,0,001700,15
13,0,001800,14
14,0,001900,15
15,0,001900,15
16,0,002100,14
17,0,020200,15
18,0,002800,15
19,0,002100,14
20,0,002100,14
21,0,002200,14
22,0,002500,15
23,0,002100,15
24,0,002200,14
25,0,002100,15
26,0,003100,15
27,0,002100,14
28,0,002200,15
29,0,002300,15
30,0,002900,14
31,0,002300,14
32,0,002400,14
33,0,002100,15
34,0,002200,15
35,0,001800,14
36,0,001800,14
37,0,001700,14
38,0,003500,15
39,0,002100,15
40,0,001700,14
41,0,001600,14
42,0,001600,14
43,0,001700,15
44,0,003500,15
45,0,002000,14
46,0,002100,15
47,0,003300,15
48,0,002100,14
49,0,002300,15
50,0,002400,15
51,0,002100,14
52,0,002300,14
53,0,002000,14
54,0,002300,15
55,0,002200,15
56,0,003400,14
57,0,002100,15
58,0,002200,15
59,0,002300,14
60,0,029700,15
61,0,003600,15
62,0,002300,14
63,0,002000,14
64,0,002100,14
65,0,003400,15
66,0,002000,15
67,0,002000,14
68,0,002200,15
69,0,002200,15
70,0,002000,14
71,0,002200,15
72,0,002100,15
73,0,002100,14
74,0,003500,14
75,0,002100,14
76,0,002400,15
77,0,002200,15
78,0,002000,14
79,0,002100,14
80,0,002200,14
81,0,003100,15
82,0,003000,15
83,0,002000,14
84,0,002400,14
85,0,002000,14
86,0,002300,15
87,0,002200,15
88,0,002000,14
89,0,006700,15
90,0,002100,15
91,0,002900,14
92,0,002100,15
93,0,001700,15
94,0,001600,14
95,0,001600,14
96,0,002400,14
97,0,001700,15
98,0,001700,15
99,0,001500,14
100,0,002300,15
101,0,001600,15
102,0,001600,14
103,0,001700,15
104,0,001700,15
105,0,001900,14
106,0,001800,14
107,0,003000,14
108,0,002100,15
109,0,002800,15
110,0,001900,14
111,0,002000,15
112,0,002100,15
113,0,001800,14
114,0,002000,15
115,0,001900,15
116,0,001800,14
117,0,002000,14
118,0,002600,14
119,0,002300,15
120,0,002100,15
121,0,001900,14
122,0,001900,14
123,0,001900,14
124,0,002100,15
125,0,001900,15
126,0,001900,14
127,0,003100,14
128,0,017500,14
129,0,001000,15
130,0,000700,15
131,0,000700,14
132,0,000700,15
133,0,000700,15
134,0,000700,14
135,0,000600,15
136,0,000700,15
137,0,000600,14
138,0,000600,14
139,0,000600,14
140,0,000700,15
141,0,000700,15
142,0,000700,14
143,0,000700,15
144,0,000700,15
145,0,000600,14
146,0,000600,15
147,0,000700,15
148,0,000600,14
149,0,000600,14
150,0,000600,14
151,0,000800,15
152,0,000500,15
153,0,000600,14
154,0,000600,15
155,0,002100,15
156,0,000800,14
157,0,000800,15
158,0,000600,15
159,0,000500,14
160,0,000500,14
161,0,000500,14
162,0,000900,15
163,0,000700,15
164,0,000700,14
165,0,000700,14
166,0,000500,14
167,0,000600,15
168,0,000500,15
169,0,000500,14
170,0,000500,14
171,0,002700,14
172,0,000800,15
173,0,000600,15
174,0,000500,14
175,0,000700,15
176,0,000600,15
177,0,000700,14
178,0,000700,15
179,0,000700,15
180,0,000600,14
181,0,020500,14
182,0,002200,14
183,0,000800,15
184,0,000600,15
185,0,000700,14
186,0,000600,15
187,0,000600,15
188,0,000500,14
189,0,000600,15
190,0,000700,15
191,0,000600,14
192,0,000600,14
193,0,000600,14
194,0,027000,15
195,0,003500,15
196,0,000800,14
197,0,000700,15
198,0,000700,15
199,0,000700,14
200,0,000700,15
201,0,000600,15
202,0,000600,14
203,0,000600,14
204,0,000600,14
205,0,000700,15
206,0,000600,15
207,0,000600,14
208,0,000700,14
209,0,000600,14
210,0,000800,15
211,0,000700,15
212,0,000700,14
213,0,000700,14
214,0,000700,14
215,0,000800,15
216,0,000600,15
217,0,000500,14
218,0,000700,15
219,0,000600,15
220,0,000600,14
221,0,000600,15
222,0,000500,15
223,0,000500,14
224,0,007100,14
225,0,000700,14
226,0,000800,15
227,0,000700,15
228,0,000700,14
229,0,000700,15
230,0,000700,15
231,0,000600,14
232,0,000600,15
233,0,000700,15
234,0,000700,14
235,0,003500,14
236,0,000700,14
237,0,000800,15
238,0,000700,15
239,0,000600,14
240,0,000700,15
241,0,001200,15
242,0,000700,14
243,0,000600,15
244,0,000700,15
245,0,000900,14
246,0,000700,14
247,0,000600,14
248,0,000600,15
249,0,000600,15
250,0,000700,14
251,0,000600,14
252,0,000600,14
253,0,000600,15
254,0,000700,15
255,0,002800,14
256,0,000700,14
257,0,000600,14
258,0,000700,15
259,0,000700,15
260,0,000600,14
261,0,000800,15
262,0,000600,15
263,0,000600,14
264,0,000700,15
265,0,000700,15
266,0,000700,14
267,0,000700,14
268,0,000600,14
269,0,000900,15
270,0,000700,15
271,0,000500,14
272,0,000700,15
273,0,000600,15
274,0,000600,14
275,0,000600,15
276,0,000600,15
277,0,000600,14
278,0,000600,14
279,0,000800,14
280,0,000900,15
281,0,000800,15
282,0,000800,14
283,0,000800,15
284,0,000800,15
285,0,000800,14
286,0,000900,15
287,0,000800,15
288,0,000700,14
289,0,000900,14
290,0,000700,14
291,0,000900,15
292,0,000800,15
293,0,000900,14
294,0,000700,14
295,0,000800,14
296,0,000900,15
297,0,000700,15
298,0,000900,14
299,0,000800,14
300,0,000800,14
301,0,000900,15
302,0,000700,15
303,0,000700,14
304,0,000800,15
305,0,000800,15
306,0,000700,14
307,0,000800,15
308,0,000800,15
309,0,000800,14
310,0,000900,14
311,0,000900,14
312,0,002200,15
313,0,000900,15
314,0,000800,14
315,0,000800,15
316,0,000900,15
317,0,000900,14
318,0,000900,15
319,0,000600,15
320,0,000700,14
321,0,001000,14
322,0,000800,14
323,0,001000,15
324,0,000800,15
325,0,000800,14
326,0,000800,15
327,0,001000,15
328,0,000900,14
329,0,000900,15
330,0,000800,15
331,0,000900,14
332,0,000800,14
333,0,000800,14
334,0,000800,15
335,0,000900,15
336,0,000900,14
337,0,001000,14
338,0,001000,14
339,0,001000,15
340,0,000900,15
341,0,000800,14
342,0,000900,14
343,0,000800,14
344,0,000900,15
345,0,001000,15
346,0,000900,14
347,0,001000,15
348,0,000900,15
349,0,000800,14
350,0,000800,15
351,0,000700,15
352,0,001900,14
353,0,001000,14
354,0,000800,14
355,0,000900,15
356,0,000700,15
357,0,000800,14
358,0,001000,15
359,0,000900,15
360,0,000800,14
361,0,000900,15
362,0,000800,15
363,0,002700,14
364,0,000800,14
365,0,000900,14
366,0,000900,15
367,0,001100,15
368,0,000900,14
369,0,000900,15
370,0,000800,15
371,0,000800,14
372,0,000900,15
373,0,000800,15
374,0,000900,14
375,0,001000,14
376,0,001100,14
377,0,000800,15
378,0,000800,15
379,0,000800,14
380,0,000800,14
381,0,000800,14
382,0,001700,15
383,0,001800,15
384,0,000900,14
385,0,000800,14
386,0,000800,14
387,0,000900,15
388,0,000800,15
389,0,000800,14
390,0,000700,15
391,0,000700,15
392,0,000800,14
393,0,000800,15
394,0,000800,15
395,0,000700,14
396,0,000800,14
397,0,000800,14
398,0,000700,15
399,0,000700,15
400,0,000800,14
401,0,000800,15
402,0,000800,15
403,0,000700,14
404,0,000800,15
405,0,000800,15
406,0,000800,14
407,0,000800,14
408,0,000900,14
409,0,000900,15
410,0,000800,15
411,0,000700,14
412,0,000800,15
413,0,000800,15
414,0,000800,14
415,0,000700,15
416,0,000800,15
417,0,000800,14
418,0,000800,14
419,0,000800,14
420,0,000900,15
421,0,000700,15
422,0,000800,14
423,0,000700,14
424,0,000800,14
425,0,000700,15
426,0,000700,15
427,0,000700,14
428,0,000800,14
429,0,000800,14
430,0,000800,15
431,0,000800,15
432,0,000700,14
433,0,000700,15
434,0,000600,15
435,0,000600,14
436,0,000700,15
437,0,000700,15
438,0,000600,14
439,0,000600,14
440,0,000500,14
441,0,000600,15
442,0,000500,15
443,0,000500,14
444,0,000500,15
445,0,000500,15
446,0,000500,14
447,0,000500,15
448,0,000600,15
449,0,000500,14
450,0,000500,14
451,0,000500,14
452,0,000600,15
453,0,024300,15
454,0,003200,14
455,0,000800,15
456,0,000700,15
457,0,000700,14
458,0,000800,15
459,0,000700,15
460,0,000800,14
461,0,000700,14
462,0,000600,14
463,0,000700,15
464,0,000600,15
465,0,000600,14
466,0,000700,14
467,0,000700,14
468,0,000700,15
469,0,000700,15
470,0,000500,14
471,0,000600,14
472,0,000500,14
473,0,000600,15
474,0,000500,15
475,0,000500,14
476,0,000500,15
477,0,000500,15
478,0,000600,14
479,0,000600,15
480,0,000500,15
481,0,000500,14
482,0,000500,14
483,0,000600,14
484,0,001000,15
485,0,000600,15
486,0,000500,14
487,0,000600,15
488,0,000700,15
489,0,000600,14
490,0,000500,15
491,0,000500,15
492,0,000500,14
493,0,000600,14
494,0,000600,14
495,0,000700,15
496,0,000600,15
497,0,000600,14
498,0,000600,15
499,0,000600,15
500,0,000500,14
501,0,000800,15
502,0,000600,15
503,0,000600,14
504,0,000700,14
505,0,000700,14
506,0,000600,15
507,0,000700,15
508,0,000600,14
509,0,000700,14
510,0,000600,14
511,0,006400,15
512,0,000900,15
513,0,000600,14
514,0,000600,14
515,0,000600,14
516,0,000700,15
517,0,000700,15
518,0,000700,14
519,0,000700,15
520,0,000600,15
521,0,000700,14
522,0,000700,15
523,0,001300,15
524,0,000800,14
525,0,000700,14
526,0,000600,14
527,0,000800,15
528,0,000600,15
529,0,000600,14
530,0,000700,15
531,0,000800,15
532,0,000600,14
533,0,000900,15
534,0,000700,15
535,0,000600,14
536,0,000700,14
537,0,000700,14
538,0,000600,15
539,0,000700,15
540,0,000700,14
541,0,000700,15
542,0,000600,15
543,0,000600,14
544,0,000700,15
545,0,000700,15
546,0,000700,14
547,0,000700,14
548,0,000700,14
549,0,000700,15
550,0,001000,15
551,0,000600,14
552,0,000600,14
553,0,000600,14
554,0,000600,15
555,0,000600,15
556,0,000600,14
557,0,000700,14
558,0,000700,14
559,0,000700,15
560,0,000700,15
561,0,000600,14
562,0,000700,15
563,0,000600,15
564,0,000600,14
565,0,000700,15
566,0,000700,15
567,0,000600,14
568,0,000600,14
569,0,000700,14
570,0,000700,15
571,0,003200,15
572,0,000700,14
573,0,000600,15
574,0,000600,15
575,0,000500,14
576,0,000600,15
577,0,000600,15
578,0,000600,14
579,0,000600,14
580,0,000700,14
581,0,002000,15
582,0,000700,15
583,0,000600,14
584,0,000600,15
585,0,000600,15
586,0,000700,14
587,0,000700,15
588,0,000600,15
589,0,000600,14
590,0,000500,14
591,0,000500,14
592,0,000700,15
593,0,002100,15
594,0,001300,14
595,0,000500,14
596,0,000400,14
597,0,000500,15
598,0,000400,15
599,0,000400,14
600,0,000500,14
601,0,000400,14
602,0,000400,15
603,0,000400,15
604,0,000400,14
605,0,000500,15
606,0,000500,15
607,0,000500,14
608,0,000600,15
609,0,000500,15
610,0,000500,14
611,0,000600,14
612,0,000600,14
613,0,000600,15
614,0,000500,15
615,0,000500,14
616,0,000500,15
617,0,000600,15
618,0,000600,14
619,0,000600,15
620,0,000500,15
621,0,000500,14
622,0,000700,14
623,0,000300,14
624,0,000400,15
625,0,000400,15
626,0,000400,14
627,0,000400,15
628,0,000400,15
629,0,000400,14
630,0,000400,15
631,0,000400,15
632,0,000300,14
633,0,000400,14
634,0,000400,14
635,0,000600,15
