Index,Time_ms,Operations
0,0,008600,30
1,0,002300,28
2,0,001800,30
3,0,001300,30
4,0,001800,30
5,0,001400,30
6,0,001400,30
7,0,001300,28
8,0,001800,30
9,0,001400,30
10,0,001300,30
11,0,001700,30
12,0,001400,28
13,0,001300,30
14,0,001300,30
15,0,001400,28
16,0,001300,28
17,0,019500,30
18,0,001700,28
19,0,001700,30
20,0,001400,28
21,0,001400,28
22,0,001400,30
23,0,001700,30
24,0,001400,28
25,0,001400,30
26,0,002100,30
27,0,001700,30
28,0,001600,28
29,0,001700,30
30,0,001600,30
31,0,001600,30
32,0,001500,28
33,0,001300,30
34,0,015500,30
35,0,001400,28
36,0,001400,30
37,0,001300,28
38,0,001400,30
39,0,001300,30
40,0,001400,30
41,0,001300,28
42,0,001500,30
43,0,002400,28
44,0,001300,30
45,0,001300,30
46,0,001300,28
47,0,001300,28
48,0,001300,30
49,0,001300,28
50,0,002600,28
51,0,001400,30
52,0,001800,28
53,0,001300,30
54,0,001200,30
55,0,001300,30
56,0,001300,30
57,0,001300,28
58,0,001200,28
59,0,001200,28
60,0,001300,30
61,0,001700,30
62,0,001200,28
63,0,001200,28
64,0,001200,28
65,0,001300,30
66,0,001400,30
67,0,001200,28
68,0,001300,30
69,0,001200,28
70,0,001900,30
71,0,001200,28
72,0,001200,30
73,0,001300,28
74,0,001300,28
75,0,001300,30
76,0,001300,28
77,0,001300,30
78,0,001700,28
79,0,001300,30
80,0,001200,28
81,0,001200,30
82,0,001300,30
83,0,001300,30
84,0,001200,28
85,0,001300,30
86,0,001200,28
87,0,001800,28
88,0,001200,28
89,0,001200,30
90,0,001300,30
91,0,001300,30
92,0,001200,28
93,0,001400,30
94,0,001300,30
95,0,001300,28
96,0,001700,30
97,0,001300,30
98,0,001200,28
99,0,001300,28
100,0,001300,30
101,0,001200,28
102,0,001400,30
103,0,001300,30
104,0,001300,28
105,0,001700,28
106,0,001300,30
107,0,001300,30
108,0,001400,30
109,0,001300,30
110,0,001400,30
111,0,001300,30
112,0,001200,28
113,0,001700,30
114,0,001300,28
115,0,001300,28
116,0,001300,30
117,0,001300,30
118,0,001200,30
119,0,001200,28
120,0,001700,30
121,0,001300,30
122,0,001600,28
123,0,001400,30
124,0,001300,28
125,0,001300,30
126,0,001200,28
127,0,002100,30
128,0,002000,28
129,0,001400,28
130,0,001300,28
131,0,002000,28
132,0,001300,28
133,0,001200,30
134,0,001200,28
135,0,001200,30
136,0,001200,30
137,0,001200,28
138,0,001200,28
139,0,001400,30
140,0,001900,30
