Index,Time_ms,Operations
0,0,009900,14
1,0,002400,15
2,0,001300,14
3,0,001900,15
4,0,001500,14
5,0,001400,15
6,0,001200,14
7,0,001200,14
8,0,002800,15
9,0,001600,14
10,0,001900,15
11,0,001600,14
12,0,001400,14
13,0,001700,15
14,0,001300,14
15,0,001300,15
16,0,001300,14
17,0,016600,14
18,0,001800,15
19,0,001700,14
20,0,001700,15
21,0,001400,14
22,0,001500,14
23,0,001600,15
24,0,002000,14
25,0,001700,15
26,0,002600,15
27,0,001300,14
28,0,001600,15
29,0,001400,15
30,0,001500,15
31,0,001600,14
32,0,001600,15
33,0,001300,14
34,0,001300,14
35,0,012100,14
36,0,002200,14
37,0,001700,15
38,0,002000,15
39,0,001600,14
40,0,001600,15
41,0,001400,14
42,0,001700,14
43,0,001700,15
44,0,002500,15
45,0,001600,14
46,0,001700,15
47,0,001500,15
48,0,001800,14
49,0,001700,15
50,0,001800,14
51,0,001400,14
52,0,001700,15
53,0,002300,15
54,0,001800,15
55,0,001800,15
56,0,001700,15
57,0,001600,15
58,0,001300,14
59,0,001600,15
60,0,001900,14
61,0,002300,14
62,0,001300,14
63,0,001300,14
64,0,001300,14
65,0,001800,15
66,0,001400,15
67,0,001300,14
68,0,001700,15
69,0,001400,14
70,0,002600,15
71,0,001800,15
72,0,001500,15
73,0,001700,15
74,0,002100,15
75,0,002100,15
76,0,001700,15
77,0,001600,14
78,0,001400,15
79,0,002400,14
80,0,001500,15
81,0,001300,14
82,0,001400,14
83,0,001500,14
84,0,001700,15
85,0,001800,14
86,0,001500,14
87,0,001400,14
88,0,002400,15
89,0,001400,14
90,0,001400,14
91,0,001900,15
92,0,001600,15
93,0,001700,14
94,0,001800,15
95,0,001500,14
96,0,001500,15
97,0,002200,14
98,0,001600,15
99,0,001600,15
